"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 14 02:20:10 UTC 2024","Wed Feb 14 02:20:33 UTC 2024","23010","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"skipped","Wed Feb 14 02:20:33 UTC 2024","Wed Feb 14 02:20:33 UTC 2024","1","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Wed Feb 14 02:34:19 UTC 2024","Wed Feb 14 02:34:33 UTC 2024","14169","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Wed Feb 14 03:22:32 UTC 2024","Wed Feb 14 03:22:32 UTC 2024","216","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Wed Feb 14 04:12:10 UTC 2024","Wed Feb 14 04:12:26 UTC 2024","16573","","17.0 Create Test User on Live Portal","","","","2. Subscribe to Nucleus Wealth mailing list",""
"passed","Wed Feb 14 04:33:14 UTC 2024","Wed Feb 14 04:33:33 UTC 2024","18793","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Wed Feb 14 04:27:56 UTC 2024","Wed Feb 14 04:27:57 UTC 2024","860","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Wed Feb 14 02:27:44 UTC 2024","Wed Feb 14 02:28:05 UTC 2024","20697","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Wed Feb 14 04:27:43 UTC 2024","Wed Feb 14 04:27:44 UTC 2024","318","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Wed Feb 14 04:18:44 UTC 2024","Wed Feb 14 04:22:54 UTC 2024","249713","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Wed Feb 14 04:25:46 UTC 2024","Wed Feb 14 04:25:51 UTC 2024","4228","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Wed Feb 14 02:29:48 UTC 2024","Wed Feb 14 02:29:49 UTC 2024","565","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Wed Feb 14 02:51:18 UTC 2024","Wed Feb 14 02:51:34 UTC 2024","15926","","9. Client Portal - Home","","","","1. Check links",""
"passed","Wed Feb 14 02:29:35 UTC 2024","Wed Feb 14 02:29:39 UTC 2024","4409","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Wed Feb 14 03:46:49 UTC 2024","Wed Feb 14 03:47:42 UTC 2024","53004","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Wed Feb 14 02:32:18 UTC 2024","Wed Feb 14 02:32:22 UTC 2024","4784","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Feb 14 02:28:05 UTC 2024","Wed Feb 14 02:28:11 UTC 2024","6377","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Wed Feb 14 02:39:37 UTC 2024","Wed Feb 14 02:39:42 UTC 2024","5242","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Wed Feb 14 03:52:23 UTC 2024","Wed Feb 14 03:52:25 UTC 2024","2016","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Wed Feb 14 02:38:35 UTC 2024","Wed Feb 14 02:38:39 UTC 2024","3361","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed Feb 14 02:20:58 UTC 2024","Wed Feb 14 02:21:20 UTC 2024","21622","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Wed Feb 14 04:32:46 UTC 2024","Wed Feb 14 04:32:50 UTC 2024","3801","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Wed Feb 14 02:27:29 UTC 2024","Wed Feb 14 02:27:40 UTC 2024","11062","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
